ID,ITEM,CONDITION,SENTENCE,RT,IA
570260f06ffa49afb7bdc797a92fea1b,9,implausible,The charity*built*a house*the hurricane victim.,1124,1
570260f06ffa49afb7bdc797a92fea1b,9,implausible,The charity*built*a house*the hurricane victim.,1328,2
570260f06ffa49afb7bdc797a92fea1b,9,implausible,The charity*built*a house*the hurricane victim.,800,3
570260f06ffa49afb7bdc797a92fea1b,5,implausible,The apprentice*fetched*a hammer*the carpenter.,1057,2
570260f06ffa49afb7bdc797a92fea1b,5,implausible,The apprentice*fetched*a hammer*the carpenter.,883,3
570260f06ffa49afb7bdc797a92fea1b,5,implausible,The apprentice*fetched*a hammer*the carpenter.,1683,4
570260f06ffa49afb7bdc797a92fea1b,6,plausible,The secretary*ordered*the boss*some office supplies.,973,1
570260f06ffa49afb7bdc797a92fea1b,6,plausible,The secretary*ordered*the boss*some office supplies.,799,2
570260f06ffa49afb7bdc797a92fea1b,6,plausible,The secretary*ordered*the boss*some office supplies.,680,3
570260f06ffa49afb7bdc797a92fea1b,6,plausible,The secretary*ordered*the boss*some office supplies.,1873,4
570260f06ffa49afb7bdc797a92fea1b,4,plausible,The grandmother*made*her granddaughter*a quilt.,629,1
570260f06ffa49afb7bdc797a92fea1b,4,plausible,The grandmother*made*her granddaughter*a quilt.,555,2
570260f06ffa49afb7bdc797a92fea1b,20,plausible,The babysitter*fixed*the child*some lunch.,988,1
570260f06ffa49afb7bdc797a92fea1b,20,plausible,The babysitter*fixed*the child*some lunch.,656,2
570260f06ffa49afb7bdc797a92fea1b,20,plausible,The babysitter*fixed*the child*some lunch.,1060,3
570260f06ffa49afb7bdc797a92fea1b,20,plausible,The babysitter*fixed*the child*some lunch.,1553,4
570260f06ffa49afb7bdc797a92fea1b,12,plausible,The nurse*poured*the old man*some water.,868,1
570260f06ffa49afb7bdc797a92fea1b,12,plausible,The nurse*poured*the old man*some water.,957,2
570260f06ffa49afb7bdc797a92fea1b,12,plausible,The nurse*poured*the old man*some water.,910,3
570260f06ffa49afb7bdc797a92fea1b,12,plausible,The nurse*poured*the old man*some water.,711,4
570260f06ffa49afb7bdc797a92fea1b,1,implausible,The cook*baked*a cake*Lucy.,582,1
570260f06ffa49afb7bdc797a92fea1b,1,implausible,The cook*baked*a cake*Lucy.,579,2
570260f06ffa49afb7bdc797a92fea1b,1,implausible,The cook*baked*a cake*Lucy.,745,3
570260f06ffa49afb7bdc797a92fea1b,8,plausible,The father*bought*his son*a bicycle.,732,1
570260f06ffa49afb7bdc797a92fea1b,8,plausible,The father*bought*his son*a bicycle.,584,2
570260f06ffa49afb7bdc797a92fea1b,8,plausible,The father*bought*his son*a bicycle.,590,3
570260f06ffa49afb7bdc797a92fea1b,8,plausible,The father*bought*his son*a bicycle.,650,4
570260f06ffa49afb7bdc797a92fea1b,13,implausible,The receptionist*saved*some cake*her co-worker.,852,1
570260f06ffa49afb7bdc797a92fea1b,13,implausible,The receptionist*saved*some cake*her co-worker.,617,2
570260f06ffa49afb7bdc797a92fea1b,13,implausible,The receptionist*saved*some cake*her co-worker.,1103,3
570260f06ffa49afb7bdc797a92fea1b,16,plausible,The man*ordered*his girlfriend*some champagne.,640,1
570260f06ffa49afb7bdc797a92fea1b,16,plausible,The man*ordered*his girlfriend*some champagne.,674,2
570260f06ffa49afb7bdc797a92fea1b,16,plausible,The man*ordered*his girlfriend*some champagne.,1190,3
570260f06ffa49afb7bdc797a92fea1b,16,plausible,The man*ordered*his girlfriend*some champagne.,857,4
570260f06ffa49afb7bdc797a92fea1b,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,700,1
570260f06ffa49afb7bdc797a92fea1b,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,738,2
570260f06ffa49afb7bdc797a92fea1b,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,1645,4
570260f06ffa49afb7bdc797a92fea1b,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,1102,1
570260f06ffa49afb7bdc797a92fea1b,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,1765,2
570260f06ffa49afb7bdc797a92fea1b,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,1392,4
570260f06ffa49afb7bdc797a92fea1b,10,plausible,The waitress*fixed*the customer*a sandwich.,811,1
570260f06ffa49afb7bdc797a92fea1b,10,plausible,The waitress*fixed*the customer*a sandwich.,671,2
570260f06ffa49afb7bdc797a92fea1b,10,plausible,The waitress*fixed*the customer*a sandwich.,966,3
570260f06ffa49afb7bdc797a92fea1b,14,plausible,The seamstress*made*her client*a dress.,989,2
570260f06ffa49afb7bdc797a92fea1b,14,plausible,The seamstress*made*her client*a dress.,994,3
570260f06ffa49afb7bdc797a92fea1b,14,plausible,The seamstress*made*her client*a dress.,824,4
567e07672879e9cece03bcf4f470767f,16,implausible,The man*ordered*some champagne*his girlfriend.,632,1
567e07672879e9cece03bcf4f470767f,16,implausible,The man*ordered*some champagne*his girlfriend.,648,2
567e07672879e9cece03bcf4f470767f,16,implausible,The man*ordered*some champagne*his girlfriend.,1324,3
567e07672879e9cece03bcf4f470767f,14,implausible,The seamstress*made*a dress*her client.,1142,1
567e07672879e9cece03bcf4f470767f,14,implausible,The seamstress*made*a dress*her client.,514,2
567e07672879e9cece03bcf4f470767f,14,implausible,The seamstress*made*a dress*her client.,400,3
567e07672879e9cece03bcf4f470767f,19,plausible,The church*built*the homeless*a shelter.,420,1
567e07672879e9cece03bcf4f470767f,19,plausible,The church*built*the homeless*a shelter.,586,2
567e07672879e9cece03bcf4f470767f,19,plausible,The church*built*the homeless*a shelter.,772,3
567e07672879e9cece03bcf4f470767f,15,plausible,The lab-assistant*fetched*the scientist*a test-tube.,1110,1
567e07672879e9cece03bcf4f470767f,15,plausible,The lab-assistant*fetched*the scientist*a test-tube.,803,2
567e07672879e9cece03bcf4f470767f,15,plausible,The lab-assistant*fetched*the scientist*a test-tube.,505,3
567e07672879e9cece03bcf4f470767f,15,plausible,The lab-assistant*fetched*the scientist*a test-tube.,1221,4
567e07672879e9cece03bcf4f470767f,4,implausible,The grandmother*made*a quilt*her granddaughter.,523,2
567e07672879e9cece03bcf4f470767f,4,implausible,The grandmother*made*a quilt*her granddaughter.,765,3
567e07672879e9cece03bcf4f470767f,4,implausible,The grandmother*made*a quilt*her granddaughter.,1125,4
567e07672879e9cece03bcf4f470767f,13,plausible,The receptionist*saved*her co-worker*some cake.,470,2
567e07672879e9cece03bcf4f470767f,13,plausible,The receptionist*saved*her co-worker*some cake.,838,3
567e07672879e9cece03bcf4f470767f,10,implausible,The waitress*fixed*a sandwich*the customer.,159,1
567e07672879e9cece03bcf4f470767f,10,implausible,The waitress*fixed*a sandwich*the customer.,970,2
567e07672879e9cece03bcf4f470767f,10,implausible,The waitress*fixed*a sandwich*the customer.,586,3
567e07672879e9cece03bcf4f470767f,11,plausible,The grandmother*baked*the grandson*some cookies.,693,1
567e07672879e9cece03bcf4f470767f,11,plausible,The grandmother*baked*the grandson*some cookies.,385,2
567e07672879e9cece03bcf4f470767f,11,plausible,The grandmother*baked*the grandson*some cookies.,812,3
567e07672879e9cece03bcf4f470767f,11,plausible,The grandmother*baked*the grandson*some cookies.,1249,4
567e07672879e9cece03bcf4f470767f,8,implausible,The father*bought*a bicycle*his son.,533,1
567e07672879e9cece03bcf4f470767f,8,implausible,The father*bought*a bicycle*his son.,458,2
567e07672879e9cece03bcf4f470767f,8,implausible,The father*bought*a bicycle*his son.,601,3
567e07672879e9cece03bcf4f470767f,17,plausible,The travel agent*reserved*the businessman*a flight.,1499,1
567e07672879e9cece03bcf4f470767f,17,plausible,The travel agent*reserved*the businessman*a flight.,551,2
567e07672879e9cece03bcf4f470767f,17,plausible,The travel agent*reserved*the businessman*a flight.,727,3
567e07672879e9cece03bcf4f470767f,9,plausible,The charity*built*the hurricane victim*a house.,562,1
567e07672879e9cece03bcf4f470767f,9,plausible,The charity*built*the hurricane victim*a house.,569,2
567e07672879e9cece03bcf4f470767f,9,plausible,The charity*built*the hurricane victim*a house.,1611,3
567e07672879e9cece03bcf4f470767f,18,implausible,The boyfriend*obtained*some concert tickets*his girlfriend.,900,1
567e07672879e9cece03bcf4f470767f,18,implausible,The boyfriend*obtained*some concert tickets*his girlfriend.,1583,2
567e07672879e9cece03bcf4f470767f,18,implausible,The boyfriend*obtained*some concert tickets*his girlfriend.,1489,3
567e07672879e9cece03bcf4f470767f,18,implausible,The boyfriend*obtained*some concert tickets*his girlfriend.,1323,4
567e07672879e9cece03bcf4f470767f,12,implausible,The nurse*poured*some water*the old man.,915,1
567e07672879e9cece03bcf4f470767f,12,implausible,The nurse*poured*some water*the old man.,689,2
567e07672879e9cece03bcf4f470767f,12,implausible,The nurse*poured*some water*the old man.,941,3
567e07672879e9cece03bcf4f470767f,3,plausible,The woman*saved*her husband*a seat.,455,1
567e07672879e9cece03bcf4f470767f,3,plausible,The woman*saved*her husband*a seat.,542,2
567e07672879e9cece03bcf4f470767f,3,plausible,The woman*saved*her husband*a seat.,882,3
567e07672879e9cece03bcf4f470767f,3,plausible,The woman*saved*her husband*a seat.,847,4
567e07672879e9cece03bcf4f470767f,5,plausible,The apprentice*fetched*the carpenter*a hammer.,883,1
567e07672879e9cece03bcf4f470767f,5,plausible,The apprentice*fetched*the carpenter*a hammer.,1081,2
567e07672879e9cece03bcf4f470767f,5,plausible,The apprentice*fetched*the carpenter*a hammer.,741,3
567e07672879e9cece03bcf4f470767f,1,plausible,The cook*baked*Lucy*a cake.,1406,1
567e07672879e9cece03bcf4f470767f,1,plausible,The cook*baked*Lucy*a cake.,637,2
567e07672879e9cece03bcf4f470767f,1,plausible,The cook*baked*Lucy*a cake.,1205,3
567e07672879e9cece03bcf4f470767f,1,plausible,The cook*baked*Lucy*a cake.,1601,4
567e07672879e9cece03bcf4f470767f,2,implausible,The bartender*poured*a drink*the customer.,735,1
567e07672879e9cece03bcf4f470767f,2,implausible,The bartender*poured*a drink*the customer.,675,2
567e07672879e9cece03bcf4f470767f,2,implausible,The bartender*poured*a drink*the customer.,725,3
567e07672879e9cece03bcf4f470767f,20,implausible,The babysitter*fixed*some lunch*the child.,963,1
567e07672879e9cece03bcf4f470767f,20,implausible,The babysitter*fixed*some lunch*the child.,1074,3
567e07672879e9cece03bcf4f470767f,20,implausible,The babysitter*fixed*some lunch*the child.,1887,4
567e07672879e9cece03bcf4f470767f,7,plausible,The wife*reserved*her husband*a table.,959,1
567e07672879e9cece03bcf4f470767f,7,plausible,The wife*reserved*her husband*a table.,669,2
567e07672879e9cece03bcf4f470767f,7,plausible,The wife*reserved*her husband*a table.,774,3
567e07672879e9cece03bcf4f470767f,6,implausible,The secretary*ordered*some office supplies*the boss.,668,1
567e07672879e9cece03bcf4f470767f,6,implausible,The secretary*ordered*some office supplies*the boss.,534,2
567e07672879e9cece03bcf4f470767f,6,implausible,The secretary*ordered*some office supplies*the boss.,975,4
0800373747ab78796173416d3a5ac8e8,1,implausible,The cook*baked*a cake*Lucy.,1420,1
0800373747ab78796173416d3a5ac8e8,1,implausible,The cook*baked*a cake*Lucy.,819,2
0800373747ab78796173416d3a5ac8e8,1,implausible,The cook*baked*a cake*Lucy.,681,3
0800373747ab78796173416d3a5ac8e8,1,implausible,The cook*baked*a cake*Lucy.,1068,4
0800373747ab78796173416d3a5ac8e8,10,plausible,The waitress*fixed*the customer*a sandwich.,948,1
0800373747ab78796173416d3a5ac8e8,10,plausible,The waitress*fixed*the customer*a sandwich.,399,2
0800373747ab78796173416d3a5ac8e8,10,plausible,The waitress*fixed*the customer*a sandwich.,545,3
0800373747ab78796173416d3a5ac8e8,10,plausible,The waitress*fixed*the customer*a sandwich.,1221,4
0800373747ab78796173416d3a5ac8e8,2,plausible,The bartender*poured*the customer*a drink.,539,1
0800373747ab78796173416d3a5ac8e8,2,plausible,The bartender*poured*the customer*a drink.,493,2
0800373747ab78796173416d3a5ac8e8,2,plausible,The bartender*poured*the customer*a drink.,459,3
0800373747ab78796173416d3a5ac8e8,2,plausible,The bartender*poured*the customer*a drink.,793,4
0800373747ab78796173416d3a5ac8e8,9,implausible,The charity*built*a house*the hurricane victim.,499,1
0800373747ab78796173416d3a5ac8e8,9,implausible,The charity*built*a house*the hurricane victim.,415,2
0800373747ab78796173416d3a5ac8e8,9,implausible,The charity*built*a house*the hurricane victim.,489,3
0800373747ab78796173416d3a5ac8e8,9,implausible,The charity*built*a house*the hurricane victim.,977,4
0800373747ab78796173416d3a5ac8e8,16,plausible,The man*ordered*his girlfriend*some champagne.,473,1
0800373747ab78796173416d3a5ac8e8,16,plausible,The man*ordered*his girlfriend*some champagne.,530,2
0800373747ab78796173416d3a5ac8e8,16,plausible,The man*ordered*his girlfriend*some champagne.,658,3
0800373747ab78796173416d3a5ac8e8,4,plausible,The grandmother*made*her granddaughter*a quilt.,488,1
0800373747ab78796173416d3a5ac8e8,4,plausible,The grandmother*made*her granddaughter*a quilt.,419,2
0800373747ab78796173416d3a5ac8e8,4,plausible,The grandmother*made*her granddaughter*a quilt.,478,3
0800373747ab78796173416d3a5ac8e8,5,implausible,The apprentice*fetched*a hammer*the carpenter.,389,1
0800373747ab78796173416d3a5ac8e8,5,implausible,The apprentice*fetched*a hammer*the carpenter.,513,2
0800373747ab78796173416d3a5ac8e8,5,implausible,The apprentice*fetched*a hammer*the carpenter.,655,3
0800373747ab78796173416d3a5ac8e8,5,implausible,The apprentice*fetched*a hammer*the carpenter.,1129,4
0800373747ab78796173416d3a5ac8e8,13,implausible,The receptionist*saved*some cake*her co-worker.,594,1
0800373747ab78796173416d3a5ac8e8,13,implausible,The receptionist*saved*some cake*her co-worker.,428,2
0800373747ab78796173416d3a5ac8e8,13,implausible,The receptionist*saved*some cake*her co-worker.,435,3
0800373747ab78796173416d3a5ac8e8,13,implausible,The receptionist*saved*some cake*her co-worker.,932,4
0800373747ab78796173416d3a5ac8e8,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,642,1
0800373747ab78796173416d3a5ac8e8,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,489,2
0800373747ab78796173416d3a5ac8e8,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,449,3
0800373747ab78796173416d3a5ac8e8,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,1651,4
0800373747ab78796173416d3a5ac8e8,3,implausible,The woman*saved*a seat*her husband.,295,1
0800373747ab78796173416d3a5ac8e8,3,implausible,The woman*saved*a seat*her husband.,718,2
0800373747ab78796173416d3a5ac8e8,3,implausible,The woman*saved*a seat*her husband.,438,3
0800373747ab78796173416d3a5ac8e8,3,implausible,The woman*saved*a seat*her husband.,494,4
0800373747ab78796173416d3a5ac8e8,19,implausible,The church*built*a shelter*the homeless.,495,1
0800373747ab78796173416d3a5ac8e8,19,implausible,The church*built*a shelter*the homeless.,611,2
0800373747ab78796173416d3a5ac8e8,19,implausible,The church*built*a shelter*the homeless.,431,3
0800373747ab78796173416d3a5ac8e8,19,implausible,The church*built*a shelter*the homeless.,652,4
0800373747ab78796173416d3a5ac8e8,7,implausible,The wife*reserved*a table*her husband.,360,1
0800373747ab78796173416d3a5ac8e8,7,implausible,The wife*reserved*a table*her husband.,568,2
0800373747ab78796173416d3a5ac8e8,7,implausible,The wife*reserved*a table*her husband.,618,3
0800373747ab78796173416d3a5ac8e8,7,implausible,The wife*reserved*a table*her husband.,669,4
0800373747ab78796173416d3a5ac8e8,14,plausible,The seamstress*made*her client*a dress.,559,1
0800373747ab78796173416d3a5ac8e8,14,plausible,The seamstress*made*her client*a dress.,649,2
0800373747ab78796173416d3a5ac8e8,14,plausible,The seamstress*made*her client*a dress.,593,3
0800373747ab78796173416d3a5ac8e8,14,plausible,The seamstress*made*her client*a dress.,615,4
0800373747ab78796173416d3a5ac8e8,12,plausible,The nurse*poured*the old man*some water.,564,1
0800373747ab78796173416d3a5ac8e8,12,plausible,The nurse*poured*the old man*some water.,534,2
0800373747ab78796173416d3a5ac8e8,12,plausible,The nurse*poured*the old man*some water.,464,3
0800373747ab78796173416d3a5ac8e8,12,plausible,The nurse*poured*the old man*some water.,618,4
0800373747ab78796173416d3a5ac8e8,6,plausible,The secretary*ordered*the boss*some office supplies.,458,1
0800373747ab78796173416d3a5ac8e8,6,plausible,The secretary*ordered*the boss*some office supplies.,430,2
0800373747ab78796173416d3a5ac8e8,6,plausible,The secretary*ordered*the boss*some office supplies.,462,3
0800373747ab78796173416d3a5ac8e8,6,plausible,The secretary*ordered*the boss*some office supplies.,713,4
0800373747ab78796173416d3a5ac8e8,20,plausible,The babysitter*fixed*the child*some lunch.,1475,1
0800373747ab78796173416d3a5ac8e8,20,plausible,The babysitter*fixed*the child*some lunch.,454,2
0800373747ab78796173416d3a5ac8e8,20,plausible,The babysitter*fixed*the child*some lunch.,384,3
0800373747ab78796173416d3a5ac8e8,20,plausible,The babysitter*fixed*the child*some lunch.,610,4
0800373747ab78796173416d3a5ac8e8,11,implausible,The grandmother*baked*some cookies*the grandson.,529,1
0800373747ab78796173416d3a5ac8e8,11,implausible,The grandmother*baked*some cookies*the grandson.,768,2
0800373747ab78796173416d3a5ac8e8,11,implausible,The grandmother*baked*some cookies*the grandson.,1151,3
0800373747ab78796173416d3a5ac8e8,11,implausible,The grandmother*baked*some cookies*the grandson.,758,4
0800373747ab78796173416d3a5ac8e8,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,577,1
0800373747ab78796173416d3a5ac8e8,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,719,2
0800373747ab78796173416d3a5ac8e8,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,548,3
0800373747ab78796173416d3a5ac8e8,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,1028,4
0800373747ab78796173416d3a5ac8e8,8,plausible,The father*bought*his son*a bicycle.,489,1
0800373747ab78796173416d3a5ac8e8,8,plausible,The father*bought*his son*a bicycle.,424,2
0800373747ab78796173416d3a5ac8e8,8,plausible,The father*bought*his son*a bicycle.,525,3
0800373747ab78796173416d3a5ac8e8,8,plausible,The father*bought*his son*a bicycle.,464,4
0800373747ab78796173416d3a5ac8e8,17,implausible,The travel agent*reserved*a flight*the businessman.,290,1
0800373747ab78796173416d3a5ac8e8,17,implausible,The travel agent*reserved*a flight*the businessman.,593,2
0800373747ab78796173416d3a5ac8e8,17,implausible,The travel agent*reserved*a flight*the businessman.,468,3
0800373747ab78796173416d3a5ac8e8,17,implausible,The travel agent*reserved*a flight*the businessman.,464,4
67e7eb1d68a820475498cd50710902d2,4,plausible,The grandmother*made*her granddaughter*a quilt.,936,1
67e7eb1d68a820475498cd50710902d2,4,plausible,The grandmother*made*her granddaughter*a quilt.,935,2
67e7eb1d68a820475498cd50710902d2,4,plausible,The grandmother*made*her granddaughter*a quilt.,1321,3
67e7eb1d68a820475498cd50710902d2,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,1420,1
67e7eb1d68a820475498cd50710902d2,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,1240,2
67e7eb1d68a820475498cd50710902d2,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,1221,3
67e7eb1d68a820475498cd50710902d2,18,plausible,The boyfriend*obtained*his girlfriend*some concert tickets.,1733,4
67e7eb1d68a820475498cd50710902d2,9,implausible,The charity*built*a house*the hurricane victim.,1450,1
67e7eb1d68a820475498cd50710902d2,9,implausible,The charity*built*a house*the hurricane victim.,875,2
67e7eb1d68a820475498cd50710902d2,9,implausible,The charity*built*a house*the hurricane victim.,830,3
67e7eb1d68a820475498cd50710902d2,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,1562,3
67e7eb1d68a820475498cd50710902d2,15,implausible,The lab-assistant*fetched*a test-tube*the scientist.,1647,4
67e7eb1d68a820475498cd50710902d2,20,plausible,The babysitter*fixed*the child*some lunch.,820,2
67e7eb1d68a820475498cd50710902d2,20,plausible,The babysitter*fixed*the child*some lunch.,836,3
67e7eb1d68a820475498cd50710902d2,20,plausible,The babysitter*fixed*the child*some lunch.,1421,4
67e7eb1d68a820475498cd50710902d2,10,plausible,The waitress*fixed*the customer*a sandwich.,1842,1
67e7eb1d68a820475498cd50710902d2,10,plausible,The waitress*fixed*the customer*a sandwich.,921,2
67e7eb1d68a820475498cd50710902d2,10,plausible,The waitress*fixed*the customer*a sandwich.,1358,3
67e7eb1d68a820475498cd50710902d2,1,implausible,The cook*baked*a cake*Lucy.,902,1
67e7eb1d68a820475498cd50710902d2,1,implausible,The cook*baked*a cake*Lucy.,850,2
67e7eb1d68a820475498cd50710902d2,1,implausible,The cook*baked*a cake*Lucy.,870,3
67e7eb1d68a820475498cd50710902d2,1,implausible,The cook*baked*a cake*Lucy.,1985,4
67e7eb1d68a820475498cd50710902d2,14,plausible,The seamstress*made*her client*a dress.,1868,1
67e7eb1d68a820475498cd50710902d2,14,plausible,The seamstress*made*her client*a dress.,865,2
67e7eb1d68a820475498cd50710902d2,14,plausible,The seamstress*made*her client*a dress.,746,3
67e7eb1d68a820475498cd50710902d2,14,plausible,The seamstress*made*her client*a dress.,881,4
67e7eb1d68a820475498cd50710902d2,8,plausible,The father*bought*his son*a bicycle.,1418,1
67e7eb1d68a820475498cd50710902d2,8,plausible,The father*bought*his son*a bicycle.,741,2
67e7eb1d68a820475498cd50710902d2,8,plausible,The father*bought*his son*a bicycle.,766,3
67e7eb1d68a820475498cd50710902d2,8,plausible,The father*bought*his son*a bicycle.,954,4
67e7eb1d68a820475498cd50710902d2,7,implausible,The wife*reserved*a table*her husband.,805,1
67e7eb1d68a820475498cd50710902d2,7,implausible,The wife*reserved*a table*her husband.,1376,2
67e7eb1d68a820475498cd50710902d2,7,implausible,The wife*reserved*a table*her husband.,1081,3
67e7eb1d68a820475498cd50710902d2,7,implausible,The wife*reserved*a table*her husband.,1258,4
67e7eb1d68a820475498cd50710902d2,13,implausible,The receptionist*saved*some cake*her co-worker.,1825,1
67e7eb1d68a820475498cd50710902d2,13,implausible,The receptionist*saved*some cake*her co-worker.,1365,2
67e7eb1d68a820475498cd50710902d2,13,implausible,The receptionist*saved*some cake*her co-worker.,1273,3
67e7eb1d68a820475498cd50710902d2,13,implausible,The receptionist*saved*some cake*her co-worker.,1067,4
67e7eb1d68a820475498cd50710902d2,3,implausible,The woman*saved*a seat*her husband.,1162,1
67e7eb1d68a820475498cd50710902d2,3,implausible,The woman*saved*a seat*her husband.,1145,2
67e7eb1d68a820475498cd50710902d2,3,implausible,The woman*saved*a seat*her husband.,1117,3
67e7eb1d68a820475498cd50710902d2,3,implausible,The woman*saved*a seat*her husband.,1173,4
67e7eb1d68a820475498cd50710902d2,6,plausible,The secretary*ordered*the boss*some office supplies.,1557,1
67e7eb1d68a820475498cd50710902d2,6,plausible,The secretary*ordered*the boss*some office supplies.,1037,2
67e7eb1d68a820475498cd50710902d2,6,plausible,The secretary*ordered*the boss*some office supplies.,827,3
67e7eb1d68a820475498cd50710902d2,11,implausible,The grandmother*baked*some cookies*the grandson.,1235,1
67e7eb1d68a820475498cd50710902d2,11,implausible,The grandmother*baked*some cookies*the grandson.,885,2
67e7eb1d68a820475498cd50710902d2,11,implausible,The grandmother*baked*some cookies*the grandson.,1051,3
67e7eb1d68a820475498cd50710902d2,16,plausible,The man*ordered*his girlfriend*some champagne.,1124,1
67e7eb1d68a820475498cd50710902d2,16,plausible,The man*ordered*his girlfriend*some champagne.,996,2
67e7eb1d68a820475498cd50710902d2,16,plausible,The man*ordered*his girlfriend*some champagne.,1006,3
67e7eb1d68a820475498cd50710902d2,16,plausible,The man*ordered*his girlfriend*some champagne.,1803,4
67e7eb1d68a820475498cd50710902d2,17,implausible,The travel agent*reserved*a flight*the businessman.,1128,2
67e7eb1d68a820475498cd50710902d2,17,implausible,The travel agent*reserved*a flight*the businessman.,852,3
67e7eb1d68a820475498cd50710902d2,17,implausible,The travel agent*reserved*a flight*the businessman.,1439,4
67e7eb1d68a820475498cd50710902d2,2,plausible,The bartender*poured*the customer*a drink.,1154,1
67e7eb1d68a820475498cd50710902d2,2,plausible,The bartender*poured*the customer*a drink.,1321,2
67e7eb1d68a820475498cd50710902d2,2,plausible,The bartender*poured*the customer*a drink.,1120,3
67e7eb1d68a820475498cd50710902d2,12,plausible,The nurse*poured*the old man*some water.,1352,1
67e7eb1d68a820475498cd50710902d2,12,plausible,The nurse*poured*the old man*some water.,1022,2
67e7eb1d68a820475498cd50710902d2,12,plausible,The nurse*poured*the old man*some water.,1339,3
67e7eb1d68a820475498cd50710902d2,19,implausible,The church*built*a shelter*the homeless.,1328,1
67e7eb1d68a820475498cd50710902d2,19,implausible,The church*built*a shelter*the homeless.,1003,2
67e7eb1d68a820475498cd50710902d2,19,implausible,The church*built*a shelter*the homeless.,946,3
67e7eb1d68a820475498cd50710902d2,19,implausible,The church*built*a shelter*the homeless.,786,4
67e7eb1d68a820475498cd50710902d2,5,implausible,The apprentice*fetched*a hammer*the carpenter.,1622,1
67e7eb1d68a820475498cd50710902d2,5,implausible,The apprentice*fetched*a hammer*the carpenter.,956,2
67e7eb1d68a820475498cd50710902d2,5,implausible,The apprentice*fetched*a hammer*the carpenter.,835,3
67e7eb1d68a820475498cd50710902d2,5,implausible,The apprentice*fetched*a hammer*the carpenter.,1115,4
f056225247041558665fe7aa578a40b0,3,implausible,The woman*saved*a seat*her husband.,635,1
f056225247041558665fe7aa578a40b0,3,implausible,The woman*saved*a seat*her husband.,575,2
f056225247041558665fe7aa578a40b0,3,implausible,The woman*saved*a seat*her husband.,410,3
f056225247041558665fe7aa578a40b0,3,implausible,The woman*saved*a seat*her husband.,946,4
